label,category,condition,peak,fired,peak_rms
00054_Sandy_200_clean.wav,positive,clean,0.982,,1338
00042_Junior_200_clean.wav,positive,clean,0.300,,1893
00032_Grandma_def_clean.wav,positive,clean,0.925,,3068
00066_Moira_200_clean.wav,positive,clean,0.998,,2208
00043_Junior_240_clean.wav,positive,clean,0.555,,1834
00023_Ralph_240_clean.wav,positive,clean,0.712,,1551
00023_Ralph_240_reverb.wav,positive,reverb,0.446,,2511
00054_Sandy_200_reverb.wav,positive,reverb,0.920,,2943
00000_Samantha_def_reverb.wav,positive,reverb,0.415,,3088
00063_Tessa_240_reverb.wav,positive,reverb,0.813,,3667
00047_Reed_240_reverb.wav,positive,reverb,0.171,,2704
00016_Kathy_def_reverb.wav,positive,reverb,0.429,,4833
00016_Kathy_def_quiet.wav,positive,quiet,0.391,,1144
00014_Fred_200_quiet.wav,positive,quiet,0.997,,697
00054_Sandy_200_quiet.wav,positive,quiet,0.963,,1113
00015_Fred_240_quiet.wav,positive,quiet,0.997,,846
00064_Moira_def_quiet.wav,positive,quiet,0.999,,1599
00021_Ralph_160_quiet.wav,positive,quiet,0.441,,1352
00039_Grandpa_240_noisy20.wav,positive,noisy20,0.982,,2904
00030_Flo_200_noisy20.wav,positive,noisy20,0.912,,4275
00004_Daniel_def_noisy20.wav,positive,noisy20,0.984,,3828
00024_Albert_def_noisy20.wav,positive,noisy20,0.906,,5431
00054_Sandy_200_noisy20.wav,positive,noisy20,0.992,,2353
00045_Reed_160_noisy20.wav,positive,noisy20,0.998,,4533
00019_Kathy_240_noisy10.wav,positive,noisy10,0.281,,3261
00023_Ralph_240_noisy10.wav,positive,noisy10,0.451,,2095
00063_Tessa_240_noisy10.wav,positive,noisy10,0.727,,3118
00026_Albert_200_noisy10.wav,positive,noisy10,0.604,,4560
00062_Tessa_200_noisy10.wav,positive,noisy10,0.428,,3631
00003_Samantha_240_noisy10.wav,positive,noisy10,0.276,,3842
00000_Samantha_def_noisy5.wav,positive,noisy5,0.212,,3920
00054_Sandy_200_noisy5.wav,positive,noisy5,0.667,,2473
00037_Grandpa_160_noisy5.wav,positive,noisy5,0.931,,3882
00043_Junior_240_noisy5.wav,positive,noisy5,0.185,,2611
00058_Shelley_200_noisy5.wav,positive,noisy5,0.287,,4035
00027_Albert_240_noisy5.wav,positive,noisy5,0.866,,3616
00063_Tessa_240_noisy0.wav,positive,noisy0,0.635,,3410
00010_Karen_200_noisy0.wav,positive,noisy0,0.089,,4345
00015_Fred_240_noisy0.wav,positive,noisy0,0.434,,1964
00049_Rocko_160_noisy0.wav,positive,noisy0,0.090,,4007
00030_Flo_200_noisy0.wav,positive,noisy0,0.036,,4359
00012_Fred_def_noisy0.wav,positive,noisy0,0.415,,2486
00006_hey-jeremy_Albert_noisy20.wav,near_miss,noisy20,0.369,,2486
00007_hey-jeremy_Flo_reverb.wav,near_miss,reverb,0.014,,1823
00006_hey-jeremy_Albert_noisy10.wav,near_miss,noisy10,0.223,,3096
00015_hey-travis_Flo_noisy10.wav,near_miss,noisy10,0.362,,3765
00009_hey-travis_Daniel_noisy0.wav,near_miss,noisy0,0.053,,4246
00014_hey-travis_Albert_reverb.wav,near_miss,reverb,0.013,,8149
00020_hi-jarvis_Kathy_reverb.wav,near_miss,reverb,0.366,,3493
00023_hi-jarvis_Flo_quiet.wav,near_miss,quiet,0.822,,1272
00018_hi-jarvis_Karen_noisy5.wav,near_miss,noisy5,0.189,,4111
00024_a-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.452,,3680
00031_a-jarvis_Flo_clean.wav,near_miss,clean,0.004,,5090
00025_a-jarvis_Daniel_noisy20.wav,near_miss,noisy20,0.142,,3735
00038_hey-there_Albert_noisy20.wav,near_miss,noisy20,0.329,,1597
00032_hey-there_Samantha_quiet.wav,near_miss,quiet,0.187,,2253
00038_hey-there_Albert_reverb.wav,near_miss,reverb,0.015,,7080
00045_hey-darkness_Ralph_noisy10.wav,near_miss,noisy10,0.409,,1883
00040_hey-darkness_Samantha_quiet.wav,near_miss,quiet,0.004,,2785
00044_hey-darkness_Kathy_noisy20.wav,near_miss,noisy20,0.473,,3711
00052_jarvis_Kathy_reverb.wav,near_miss,reverb,0.074,,3881
00051_jarvis_Fred_noisy20.wav,near_miss,noisy20,0.993,,1510
00053_jarvis_Ralph_noisy20.wav,near_miss,noisy20,0.419,,2139
00056_hey-alexa_Samantha_noisy5.wav,near_miss,noisy5,0.016,,3322
00063_hey-alexa_Flo_noisy5.wav,near_miss,noisy5,0.008,,1949
00060_hey-alexa_Kathy_noisy10.wav,near_miss,noisy10,0.015,,2817
00071_hey-harris_Flo_noisy0.wav,near_miss,noisy0,0.221,,2926
00070_hey-harris_Albert_clean.wav,near_miss,clean,0.000,,0
00069_hey-harris_Ralph_reverb.wav,near_miss,reverb,0.977,,3527
00075_hey-james_Fred_reverb.wav,near_miss,reverb,0.040,,1887
00076_hey-james_Kathy_reverb.wav,near_miss,reverb,0.060,,2959
00074_hey-james_Karen_noisy5.wav,near_miss,noisy5,0.395,,3372
00080_okay-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.213,,4384
00083_okay-jarvis_Fred_noisy0.wav,near_miss,noisy0,0.394,,2041
00082_okay-jarvis_Karen_noisy20.wav,near_miss,noisy20,0.969,,4765
00088_hey-jervis_Samantha_clean.wav,near_miss,clean,0.879,,2644
00094_hey-jervis_Albert_clean.wav,near_miss,clean,0.405,,1771
00091_hey-jervis_Fred_clean.wav,near_miss,clean,0.920,,2099
00101_hey-charmless_Ralph_reverb.wav,near_miss,reverb,0.616,,3233
00102_hey-charmless_Albert_noisy10.wav,near_miss,noisy10,0.611,,4368
00099_hey-charmless_Fred_clean.wav,near_miss,clean,0.997,,2291
00108_they-marvis_Kathy_clean.wav,near_miss,clean,0.005,,3573
00111_they-marvis_Flo_noisy0.wav,near_miss,noisy0,0.150,,4240
00109_they-marvis_Ralph_quiet.wav,near_miss,quiet,0.007,,1116
00114_hey-service_Karen_quiet.wav,near_miss,quiet,0.002,,1663
00118_hey-service_Albert_noisy5.wav,near_miss,noisy5,0.230,,2696
00114_hey-service_Karen_noisy0.wav,near_miss,noisy0,0.120,,3895
bg_00022.wav,background,speech,0.001,,7277
bg_00024.wav,background,speech,0.001,,5765
bg_00012.wav,background,speech,0.002,,6391
bg_00137.wav,background,speech,0.003,,6530
bg_00167.wav,background,speech,0.003,,3575
bg_00101.wav,background,speech,0.003,,4326
bg_00152.wav,background,speech,0.024,,3578
bg_00065.wav,background,speech,0.002,,12474
bg_00159.wav,background,speech,0.001,,3107
bg_00176.wav,background,speech,0.000,,4548
