label,category,condition,peak,fired
00054_Sandy_200_clean.wav,positive,clean,0.972,
00042_Junior_200_clean.wav,positive,clean,0.998,
00032_Grandma_def_clean.wav,positive,clean,0.973,
00066_Moira_200_clean.wav,positive,clean,0.994,
00043_Junior_240_clean.wav,positive,clean,0.899,
00023_Ralph_240_clean.wav,positive,clean,0.284,
00023_Ralph_240_reverb.wav,positive,reverb,0.001,
00054_Sandy_200_reverb.wav,positive,reverb,0.993,
00000_Samantha_def_reverb.wav,positive,reverb,0.160,
00063_Tessa_240_reverb.wav,positive,reverb,0.733,
00047_Reed_240_reverb.wav,positive,reverb,0.340,
00016_Kathy_def_reverb.wav,positive,reverb,0.246,
00016_Kathy_def_quiet.wav,positive,quiet,0.196,
00014_Fred_200_quiet.wav,positive,quiet,0.997,
00054_Sandy_200_quiet.wav,positive,quiet,0.950,
00015_Fred_240_quiet.wav,positive,quiet,0.996,
00064_Moira_def_quiet.wav,positive,quiet,0.995,
00021_Ralph_160_quiet.wav,positive,quiet,0.998,
00039_Grandpa_240_noisy20.wav,positive,noisy20,0.994,
00030_Flo_200_noisy20.wav,positive,noisy20,0.974,
00004_Daniel_def_noisy20.wav,positive,noisy20,0.995,
00024_Albert_def_noisy20.wav,positive,noisy20,0.432,
00054_Sandy_200_noisy20.wav,positive,noisy20,0.215,
00045_Reed_160_noisy20.wav,positive,noisy20,0.996,
00019_Kathy_240_noisy10.wav,positive,noisy10,0.419,
00023_Ralph_240_noisy10.wav,positive,noisy10,0.452,
00063_Tessa_240_noisy10.wav,positive,noisy10,0.534,
00026_Albert_200_noisy10.wav,positive,noisy10,0.980,
00062_Tessa_200_noisy10.wav,positive,noisy10,0.963,
00003_Samantha_240_noisy10.wav,positive,noisy10,0.000,
00000_Samantha_def_noisy5.wav,positive,noisy5,0.345,
00054_Sandy_200_noisy5.wav,positive,noisy5,0.255,
00037_Grandpa_160_noisy5.wav,positive,noisy5,0.968,
00043_Junior_240_noisy5.wav,positive,noisy5,0.093,
00058_Shelley_200_noisy5.wav,positive,noisy5,0.945,
00027_Albert_240_noisy5.wav,positive,noisy5,0.791,
00063_Tessa_240_noisy0.wav,positive,noisy0,0.548,
00010_Karen_200_noisy0.wav,positive,noisy0,0.097,
00015_Fred_240_noisy0.wav,positive,noisy0,0.713,
00049_Rocko_160_noisy0.wav,positive,noisy0,0.120,
00030_Flo_200_noisy0.wav,positive,noisy0,0.052,
00012_Fred_def_noisy0.wav,positive,noisy0,0.478,
00006_hey-jeremy_Albert_noisy20.wav,near_miss,noisy20,0.204,
00007_hey-jeremy_Flo_reverb.wav,near_miss,reverb,0.073,
00006_hey-jeremy_Albert_noisy10.wav,near_miss,noisy10,0.362,
00015_hey-travis_Flo_noisy10.wav,near_miss,noisy10,0.000,
00009_hey-travis_Daniel_noisy0.wav,near_miss,noisy0,0.000,
00014_hey-travis_Albert_reverb.wav,near_miss,reverb,0.004,
00020_hi-jarvis_Kathy_reverb.wav,near_miss,reverb,0.356,
00023_hi-jarvis_Flo_quiet.wav,near_miss,quiet,0.352,
00018_hi-jarvis_Karen_noisy5.wav,near_miss,noisy5,0.705,
00024_a-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.109,
00031_a-jarvis_Flo_clean.wav,near_miss,clean,0.001,
00025_a-jarvis_Daniel_noisy20.wav,near_miss,noisy20,0.141,
00038_hey-there_Albert_noisy20.wav,near_miss,noisy20,0.082,
00032_hey-there_Samantha_quiet.wav,near_miss,quiet,0.039,
00038_hey-there_Albert_reverb.wav,near_miss,reverb,0.000,
00045_hey-darkness_Ralph_noisy10.wav,near_miss,noisy10,0.151,
00040_hey-darkness_Samantha_quiet.wav,near_miss,quiet,0.019,
00044_hey-darkness_Kathy_noisy20.wav,near_miss,noisy20,0.026,
00052_jarvis_Kathy_reverb.wav,near_miss,reverb,0.001,
00051_jarvis_Fred_noisy20.wav,near_miss,noisy20,0.992,
00053_jarvis_Ralph_noisy20.wav,near_miss,noisy20,0.004,
00056_hey-alexa_Samantha_noisy5.wav,near_miss,noisy5,0.010,
00063_hey-alexa_Flo_noisy5.wav,near_miss,noisy5,0.081,
00060_hey-alexa_Kathy_noisy10.wav,near_miss,noisy10,0.016,
00071_hey-harris_Flo_noisy0.wav,near_miss,noisy0,0.343,
00070_hey-harris_Albert_clean.wav,near_miss,clean,0.031,
00069_hey-harris_Ralph_reverb.wav,near_miss,reverb,0.491,
00075_hey-james_Fred_reverb.wav,near_miss,reverb,0.012,
00076_hey-james_Kathy_reverb.wav,near_miss,reverb,0.032,
00074_hey-james_Karen_noisy5.wav,near_miss,noisy5,0.391,
00080_okay-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.907,
00083_okay-jarvis_Fred_noisy0.wav,near_miss,noisy0,0.485,
00082_okay-jarvis_Karen_noisy20.wav,near_miss,noisy20,0.737,
00088_hey-jervis_Samantha_clean.wav,near_miss,clean,0.012,
00094_hey-jervis_Albert_clean.wav,near_miss,clean,0.455,
00091_hey-jervis_Fred_clean.wav,near_miss,clean,0.413,
00101_hey-charmless_Ralph_reverb.wav,near_miss,reverb,0.298,
00102_hey-charmless_Albert_noisy10.wav,near_miss,noisy10,0.062,
00099_hey-charmless_Fred_clean.wav,near_miss,clean,0.995,
00108_they-marvis_Kathy_clean.wav,near_miss,clean,0.205,
00111_they-marvis_Flo_noisy0.wav,near_miss,noisy0,0.036,
00109_they-marvis_Ralph_quiet.wav,near_miss,quiet,0.014,
00114_hey-service_Karen_quiet.wav,near_miss,quiet,0.003,
00118_hey-service_Albert_noisy5.wav,near_miss,noisy5,0.194,
00114_hey-service_Karen_noisy0.wav,near_miss,noisy0,0.007,
bg_00022.wav,background,speech,0.000,
bg_00024.wav,background,speech,0.004,
bg_00012.wav,background,speech,0.005,
bg_00137.wav,background,speech,0.001,
bg_00167.wav,background,speech,0.000,
bg_00101.wav,background,speech,0.019,
bg_00152.wav,background,speech,0.010,
bg_00065.wav,background,speech,0.001,
bg_00159.wav,background,speech,0.002,
bg_00176.wav,background,speech,0.000,
