label,category,condition,peak,fired,peak_rms
00054_Sandy_200_clean.wav,positive,clean,0.958,,1420
00042_Junior_200_clean.wav,positive,clean,0.304,,1896
00032_Grandma_def_clean.wav,positive,clean,0.981,,3189
00066_Moira_200_clean.wav,positive,clean,0.997,,1937
00043_Junior_240_clean.wav,positive,clean,0.931,,1549
00023_Ralph_240_clean.wav,positive,clean,0.809,,1648
00023_Ralph_240_reverb.wav,positive,reverb,0.500,,2597
00054_Sandy_200_reverb.wav,positive,reverb,0.741,,2926
00000_Samantha_def_reverb.wav,positive,reverb,0.492,,3284
00063_Tessa_240_reverb.wav,positive,reverb,0.938,,3734
00047_Reed_240_reverb.wav,positive,reverb,0.064,,2821
00016_Kathy_def_reverb.wav,positive,reverb,0.610,,4811
00016_Kathy_def_quiet.wav,positive,quiet,0.494,,1114
00014_Fred_200_quiet.wav,positive,quiet,0.997,,808
00054_Sandy_200_quiet.wav,positive,quiet,0.983,,1025
00015_Fred_240_quiet.wav,positive,quiet,0.982,,983
00064_Moira_def_quiet.wav,positive,quiet,0.999,,1557
00021_Ralph_160_quiet.wav,positive,quiet,0.934,,1333
00039_Grandpa_240_noisy20.wav,positive,noisy20,0.955,,3079
00030_Flo_200_noisy20.wav,positive,noisy20,0.793,,4877
00004_Daniel_def_noisy20.wav,positive,noisy20,0.991,,4820
00024_Albert_def_noisy20.wav,positive,noisy20,0.809,,5663
00054_Sandy_200_noisy20.wav,positive,noisy20,0.898,,2603
00045_Reed_160_noisy20.wav,positive,noisy20,0.993,,5127
00019_Kathy_240_noisy10.wav,positive,noisy10,0.333,,3201
00023_Ralph_240_noisy10.wav,positive,noisy10,0.368,,2154
00063_Tessa_240_noisy10.wav,positive,noisy10,0.777,,3436
00026_Albert_200_noisy10.wav,positive,noisy10,0.995,,4321
00062_Tessa_200_noisy10.wav,positive,noisy10,0.943,,3088
00003_Samantha_240_noisy10.wav,positive,noisy10,0.241,,3796
00000_Samantha_def_noisy5.wav,positive,noisy5,0.191,,4355
00054_Sandy_200_noisy5.wav,positive,noisy5,0.763,,2812
00037_Grandpa_160_noisy5.wav,positive,noisy5,0.950,,3463
00043_Junior_240_noisy5.wav,positive,noisy5,0.287,,2503
00058_Shelley_200_noisy5.wav,positive,noisy5,0.487,,3857
00027_Albert_240_noisy5.wav,positive,noisy5,0.870,,3518
