label,category,condition,peak,fired,peak_rms
00054_Sandy_200_clean.wav,positive,clean,0.978,,1337
00042_Junior_200_clean.wav,positive,clean,0.535,,1911
00032_Grandma_def_clean.wav,positive,clean,0.982,,3277
00066_Moira_200_clean.wav,positive,clean,0.993,,2061
00043_Junior_240_clean.wav,positive,clean,0.000,,0
00023_Ralph_240_clean.wav,positive,clean,0.982,,1679
00023_Ralph_240_reverb.wav,positive,reverb,0.557,,2631
00054_Sandy_200_reverb.wav,positive,reverb,0.851,,2752
00000_Samantha_def_reverb.wav,positive,reverb,0.415,,3260
00063_Tessa_240_reverb.wav,positive,reverb,0.872,,3862
00047_Reed_240_reverb.wav,positive,reverb,0.422,,2861
00016_Kathy_def_reverb.wav,positive,reverb,0.449,,4836
00016_Kathy_def_quiet.wav,positive,quiet,0.117,,1315
00014_Fred_200_quiet.wav,positive,quiet,0.998,,835
00054_Sandy_200_quiet.wav,positive,quiet,0.973,,1029
00015_Fred_240_quiet.wav,positive,quiet,0.980,,927
00064_Moira_def_quiet.wav,positive,quiet,0.999,,2191
00021_Ralph_160_quiet.wav,positive,quiet,0.958,,1542
00039_Grandpa_240_noisy20.wav,positive,noisy20,0.951,,3539
00030_Flo_200_noisy20.wav,positive,noisy20,0.875,,4174
00004_Daniel_def_noisy20.wav,positive,noisy20,0.987,,3852
00024_Albert_def_noisy20.wav,positive,noisy20,0.869,,5607
00054_Sandy_200_noisy20.wav,positive,noisy20,0.980,,2563
00045_Reed_160_noisy20.wav,positive,noisy20,0.996,,5168
00019_Kathy_240_noisy10.wav,positive,noisy10,0.433,,2784
00023_Ralph_240_noisy10.wav,positive,noisy10,0.690,,2266
00063_Tessa_240_noisy10.wav,positive,noisy10,0.880,,3079
00026_Albert_200_noisy10.wav,positive,noisy10,0.328,,4316
00062_Tessa_200_noisy10.wav,positive,noisy10,0.881,,3369
00003_Samantha_240_noisy10.wav,positive,noisy10,0.497,,4070
00000_Samantha_def_noisy5.wav,positive,noisy5,0.308,,3910
00054_Sandy_200_noisy5.wav,positive,noisy5,0.831,,2836
00037_Grandpa_160_noisy5.wav,positive,noisy5,0.927,,3896
00043_Junior_240_noisy5.wav,positive,noisy5,0.324,,2381
00058_Shelley_200_noisy5.wav,positive,noisy5,0.189,,4044
00027_Albert_240_noisy5.wav,positive,noisy5,0.955,,3420
00063_Tessa_240_noisy0.wav,positive,noisy0,0.487,,3363
00010_Karen_200_noisy0.wav,positive,noisy0,0.111,,4174
00015_Fred_240_noisy0.wav,positive,noisy0,0.476,,1953
00049_Rocko_160_noisy0.wav,positive,noisy0,0.079,,3709
00030_Flo_200_noisy0.wav,positive,noisy0,0.007,,4333
00012_Fred_def_noisy0.wav,positive,noisy0,0.369,,2464
00006_hey-jeremy_Albert_noisy20.wav,near_miss,noisy20,0.246,,2607
00007_hey-jeremy_Flo_reverb.wav,near_miss,reverb,0.035,,1815
00006_hey-jeremy_Albert_noisy10.wav,near_miss,noisy10,0.252,,2494
00015_hey-travis_Flo_noisy10.wav,near_miss,noisy10,0.170,,3939
00009_hey-travis_Daniel_noisy0.wav,near_miss,noisy0,0.335,,4540
00014_hey-travis_Albert_reverb.wav,near_miss,reverb,0.037,,8133
00020_hi-jarvis_Kathy_reverb.wav,near_miss,reverb,0.475,,3776
00023_hi-jarvis_Flo_quiet.wav,near_miss,quiet,0.983,,1456
00018_hi-jarvis_Karen_noisy5.wav,near_miss,noisy5,0.434,,4474
00024_a-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.082,,4170
00031_a-jarvis_Flo_clean.wav,near_miss,clean,0.145,,5107
00025_a-jarvis_Daniel_noisy20.wav,near_miss,noisy20,0.494,,3188
00038_hey-there_Albert_noisy20.wav,near_miss,noisy20,0.055,,1769
00032_hey-there_Samantha_quiet.wav,near_miss,quiet,0.407,,2004
00038_hey-there_Albert_reverb.wav,near_miss,reverb,0.026,,6552
00045_hey-darkness_Ralph_noisy10.wav,near_miss,noisy10,0.404,,1991
00040_hey-darkness_Samantha_quiet.wav,near_miss,quiet,0.002,,2440
00044_hey-darkness_Kathy_noisy20.wav,near_miss,noisy20,0.150,,4124
00052_jarvis_Kathy_reverb.wav,near_miss,reverb,0.033,,4523
00051_jarvis_Fred_noisy20.wav,near_miss,noisy20,0.980,,1394
00053_jarvis_Ralph_noisy20.wav,near_miss,noisy20,0.404,,2154
00056_hey-alexa_Samantha_noisy5.wav,near_miss,noisy5,0.037,,3188
00063_hey-alexa_Flo_noisy5.wav,near_miss,noisy5,0.073,,1961
00060_hey-alexa_Kathy_noisy10.wav,near_miss,noisy10,0.006,,2526
00071_hey-harris_Flo_noisy0.wav,near_miss,noisy0,0.251,,2953
00070_hey-harris_Albert_clean.wav,near_miss,clean,0.327,,6929
00069_hey-harris_Ralph_reverb.wav,near_miss,reverb,0.997,,4058
00075_hey-james_Fred_reverb.wav,near_miss,reverb,0.106,,1840
00076_hey-james_Kathy_reverb.wav,near_miss,reverb,0.048,,3239
00074_hey-james_Karen_noisy5.wav,near_miss,noisy5,0.196,,3289
00080_okay-jarvis_Samantha_noisy5.wav,near_miss,noisy5,0.795,,4185
00083_okay-jarvis_Fred_noisy0.wav,near_miss,noisy0,0.499,,2087
00082_okay-jarvis_Karen_noisy20.wav,near_miss,noisy20,0.985,,4249
00088_hey-jervis_Samantha_clean.wav,near_miss,clean,0.993,,2505
00094_hey-jervis_Albert_clean.wav,near_miss,clean,0.502,,1727
00091_hey-jervis_Fred_clean.wav,near_miss,clean,0.914,,2154
00101_hey-charmless_Ralph_reverb.wav,near_miss,reverb,0.473,,3437
00102_hey-charmless_Albert_noisy10.wav,near_miss,noisy10,0.359,,4253
00099_hey-charmless_Fred_clean.wav,near_miss,clean,0.991,,2361
00108_they-marvis_Kathy_clean.wav,near_miss,clean,0.003,,3484
00111_they-marvis_Flo_noisy0.wav,near_miss,noisy0,0.102,,3585
00109_they-marvis_Ralph_quiet.wav,near_miss,quiet,0.010,,1174
00114_hey-service_Karen_quiet.wav,near_miss,quiet,0.003,,1870
00118_hey-service_Albert_noisy5.wav,near_miss,noisy5,0.083,,2674
00114_hey-service_Karen_noisy0.wav,near_miss,noisy0,0.036,,3850
bg_00022.wav,background,speech,0.002,,8108
bg_00024.wav,background,speech,0.001,,4741
bg_00012.wav,background,speech,0.001,,6533
bg_00137.wav,background,speech,0.003,,5810
bg_00167.wav,background,speech,0.006,,3585
bg_00101.wav,background,speech,0.018,,3959
bg_00152.wav,background,speech,0.007,,15515
bg_00065.wav,background,speech,0.003,,14423
bg_00159.wav,background,speech,0.001,,3088
bg_00176.wav,background,speech,0.000,,4823
