label,category,condition,peak,fired,duration_ms
bg_00000.wav,background,speech,0.004,0,7440
bg_00009.wav,background,speech,0.004,0,7440
bg_00015.wav,background,speech,0.001,0,7440
bg_00025.wav,background,speech,0.001,0,7440
bg_00032.wav,background,speech,0.008,0,7440
bg_00034.wav,background,speech,0.003,0,7440
bg_00050.wav,background,speech,0.003,0,7440
bg_00053.wav,background,speech,0.001,0,7440
bg_00075.wav,background,speech,0.012,0,7440
bg_00083.wav,background,speech,0.002,0,7440
00013_hey-travis_Ralph_clean.wav,near_miss,clean,0.017,0,3360
00066_hey-darkness_Karen_clean.wav,near_miss,clean,0.399,0,3280
00179_hey-alexa_Fred_clean.wav,near_miss,clean,0.006,0,3200
00210_okay-google_Karen_clean.wav,near_miss,clean,0.000,0,3200
00003_hey-jeremy_Fred_noisy20.wav,near_miss,noisy,0.450,0,3200
00009_hey-travis_Daniel_noisy5.wav,near_miss,noisy,0.035,0,3280
00017_hey-harris_Daniel_noisy20.wav,near_miss,noisy,0.321,0,3200
00018_hey-harris_Karen_noisy5.wav,near_miss,noisy,0.002,0,3200
00027_hey-james_Fred_noisy5.wav,near_miss,noisy,0.009,0,3280
00031_hey-james_Flo_noisy20.wav,near_miss,noisy,0.094,0,3280
00039_hey-jervis_Flo_noisy0.wav,near_miss,noisy,0.439,0,3280
00041_hey-jasmine_Daniel_noisy0.wav,near_miss,noisy,0.375,0,3200
00047_hey-jasmine_Flo_noisy10.wav,near_miss,noisy,0.983,1,3360
00049_hey-charles_Daniel_noisy5.wav,near_miss,noisy,0.887,1,3280
00055_hey-charles_Flo_noisy0.wav,near_miss,noisy,0.867,1,3200
00063_hey-service_Flo_noisy20.wav,near_miss,noisy,0.354,0,3200
00073_hey-charmless_Daniel_noisy0.wav,near_miss,noisy,0.411,0,3280
00083_they-marvis_Fred_noisy0.wav,near_miss,noisy,0.077,0,3280
00087_they-marvis_Flo_noisy10.wav,near_miss,noisy,0.343,0,3120
00090_hey-marvis_Karen_noisy10.wav,near_miss,noisy,0.213,0,3280
00092_hey-marvis_Kathy_noisy0.wav,near_miss,noisy,0.402,0,3440
00097_a-jarvis_Daniel_noisy10.wav,near_miss,noisy,0.273,0,3120
00113_hey-jarvahs_Daniel_noisy10.wav,near_miss,noisy,0.989,1,3280
00116_hey-jarvahs_Kathy_noisy5.wav,near_miss,noisy,0.479,0,3360
00124_hey-Jerry_Kathy_noisy10.wav,near_miss,noisy,0.371,0,3120
00131_hey-Chris_Fred_noisy10.wav,near_miss,noisy,0.016,0,3200
00143_hi-jarvis_Flo_noisy0.wav,near_miss,noisy,0.128,0,3360
00159_yo-jarvis_Flo_noisy0.wav,near_miss,noisy,0.033,0,3280
00160_jarvis_Samantha_noisy10.wav,near_miss,noisy,0.000,0,2960
00170_jarvis-jarvis_Karen_noisy10.wav,near_miss,noisy,0.280,0,3520
00177_hey-alexa_Daniel_noisy5.wav,near_miss,noisy,0.000,0,3120
00186_hey-there_Karen_noisy0.wav,near_miss,noisy,0.016,0,2960
00189_hey-there_Ralph_noisy20.wav,near_miss,noisy,0.034,0,3120
00193_hey-google_Daniel_noisy5.wav,near_miss,noisy,0.022,0,3040
00209_okay-google_Daniel_noisy20.wav,near_miss,noisy,0.000,0,3200
00002_hey-jeremy_Karen_quiet.wav,near_miss,quiet,0.078,0,3200
00020_hey-harris_Kathy_quiet.wav,near_miss,quiet,0.164,0,3280
00038_hey-jervis_Albert_quiet.wav,near_miss,quiet,0.414,0,3680
00064_hey-darkness_Samantha_quiet.wav,near_miss,quiet,0.007,0,3200
00214_okay-google_Albert_quiet.wav,near_miss,quiet,0.056,0,3600
00087_they-marvis_Flo_reverb.wav,near_miss,reverb,0.033,0,3120
00104_hey-jarvus_Samantha_reverb.wav,near_miss,reverb,0.046,0,3120
00125_hey-Jerry_Ralph_reverb.wav,near_miss,reverb,0.079,0,3120
00126_hey-Jerry_Albert_reverb.wav,near_miss,reverb,0.066,0,3360
00206_hey-siri_Albert_reverb.wav,near_miss,reverb,0.005,0,3360
00032_hey-jarvis_Kathy_200_clean.wav,positive,clean,0.470,0,3200
00043_hey-jarvis_Albert_140_clean.wav,positive,clean,0.998,1,3440
00082_hey-jarvis_Reed_220_clean.wav,positive,clean,0.997,1,3200
00115_hey-jarvis_Moira_180_clean.wav,positive,clean,0.998,1,3280
00004_hey-jarvis_Samantha_200_noisy5.wav,positive,noisy,0.272,0,3040
00009_hey-jarvis_Daniel_160_noisy0.wav,positive,noisy,0.734,1,3280
00020_hey-jarvis_Karen_240_noisy20.wav,positive,noisy,0.929,1,3040
00025_hey-jarvis_Fred_200_noisy0.wav,positive,noisy,0.469,0,3200
00027_hey-jarvis_Fred_240_noisy10.wav,positive,noisy,0.976,1,3040
00028_hey-jarvis_Kathy_def_noisy0.wav,positive,noisy,0.169,0,3440
00031_hey-jarvis_Kathy_180_noisy5.wav,positive,noisy,0.042,0,3280
00035_hey-jarvis_Ralph_def_noisy20.wav,positive,noisy,0.998,1,3440
00036_hey-jarvis_Ralph_140_noisy20.wav,positive,noisy,0.998,1,3440
00038_hey-jarvis_Ralph_180_noisy0.wav,positive,noisy,0.500,0,3280
00039_hey-jarvis_Ralph_200_noisy10.wav,positive,noisy,0.975,1,3200
00043_hey-jarvis_Albert_140_noisy20.wav,positive,noisy,0.993,1,3440
00045_hey-jarvis_Albert_180_noisy5.wav,positive,noisy,0.916,1,3280
00050_hey-jarvis_Flo_140_noisy0.wav,positive,noisy,0.362,0,3440
00053_hey-jarvis_Flo_200_noisy0.wav,positive,noisy,0.958,1,3200
00059_hey-jarvis_Grandma_180_noisy10.wav,positive,noisy,0.833,1,3280
00060_hey-jarvis_Grandma_200_noisy20.wav,positive,noisy,0.496,0,3200
00068_hey-jarvis_Grandpa_220_noisy10.wav,positive,noisy,0.976,1,3200
00071_hey-jarvis_Junior_140_noisy10.wav,positive,noisy,0.455,0,3440
00091_hey-jarvis_Sandy_def_noisy20.wav,positive,noisy,0.958,1,3200
00094_hey-jarvis_Sandy_180_noisy20.wav,positive,noisy,0.881,1,3200
00098_hey-jarvis_Shelley_def_noisy20.wav,positive,noisy,0.982,1,3280
00104_hey-jarvis_Shelley_240_noisy0.wav,positive,noisy,0.438,0,3120
00108_hey-jarvis_Tessa_180_noisy20.wav,positive,noisy,0.977,1,3280
00109_hey-jarvis_Tessa_200_noisy10.wav,positive,noisy,0.949,1,3200
00113_hey-jarvis_Moira_140_noisy5.wav,positive,noisy,0.995,1,3360
00121_hey-jarvis_Rishi_160_noisy5.wav,positive,noisy,0.720,1,3280
