label,category,condition,peak,fired,duration_ms
bg_00000.wav,background,speech,0.000,0,6000
bg_00009.wav,background,speech,0.001,0,6000
bg_00015.wav,background,speech,0.000,0,6000
bg_00025.wav,background,speech,0.000,0,6000
bg_00032.wav,background,speech,0.000,0,6000
bg_00034.wav,background,speech,0.001,0,6000
bg_00050.wav,background,speech,0.000,0,6000
bg_00053.wav,background,speech,0.000,0,6000
bg_00075.wav,background,speech,0.012,0,6000
bg_00083.wav,background,speech,0.006,0,6000
00002_hey-jeremy_Karen_quiet.wav,near_miss,quiet,0.083,0,1716
00003_hey-jeremy_Fred_noisy20.wav,near_miss,noisy,0.116,0,1754
00009_hey-travis_Daniel_noisy5.wav,near_miss,noisy,0.285,0,1822
00013_hey-travis_Ralph_clean.wav,near_miss,clean,0.016,0,1916
00017_hey-harris_Daniel_noisy20.wav,near_miss,noisy,0.006,0,1717
00018_hey-harris_Karen_noisy5.wav,near_miss,noisy,0.043,0,1763
00020_hey-harris_Kathy_quiet.wav,near_miss,quiet,0.048,0,1846
00027_hey-james_Fred_noisy5.wav,near_miss,noisy,0.017,0,1823
00031_hey-james_Flo_noisy20.wav,near_miss,noisy,0.004,0,1810
00038_hey-jervis_Albert_quiet.wav,near_miss,quiet,0.267,0,2206
00039_hey-jervis_Flo_noisy0.wav,near_miss,noisy,0.027,0,1800
00041_hey-jasmine_Daniel_noisy0.wav,near_miss,noisy,0.107,0,1764
00047_hey-jasmine_Flo_noisy10.wav,near_miss,noisy,0.834,1,1930
00049_hey-charles_Daniel_noisy5.wav,near_miss,noisy,0.878,1,1857
00055_hey-charles_Flo_noisy0.wav,near_miss,noisy,0.235,0,1770
00063_hey-service_Flo_noisy20.wav,near_miss,noisy,0.008,0,1770
00064_hey-darkness_Samantha_quiet.wav,near_miss,quiet,0.354,0,1766
00066_hey-darkness_Karen_clean.wav,near_miss,clean,0.392,0,1856
00073_hey-charmless_Daniel_noisy0.wav,near_miss,noisy,0.477,0,1857
00083_they-marvis_Fred_noisy0.wav,near_miss,noisy,0.067,0,1823
00087_they-marvis_Flo_noisy10.wav,near_miss,noisy,0.189,0,1670
00087_they-marvis_Flo_reverb.wav,near_miss,reverb,0.015,0,1670
