label,category,condition,peak,fired,peak_rms
bg_00000.wav,background,speech,0.005,0,0
bg_00009.wav,background,speech,0.013,0,0
bg_00015.wav,background,speech,0.003,0,0
bg_00025.wav,background,speech,0.001,0,0
bg_00032.wav,background,speech,0.004,0,0
bg_00034.wav,background,speech,0.002,0,0
bg_00050.wav,background,speech,0.004,0,0
bg_00053.wav,background,speech,0.002,0,0
bg_00075.wav,background,speech,0.007,0,0
bg_00083.wav,background,speech,0.001,0,0
00013_hey-travis_Ralph_clean.wav,near_miss,clean,0.341,0,0
00066_hey-darkness_Karen_clean.wav,near_miss,clean,0.657,1,0
00179_hey-alexa_Fred_clean.wav,near_miss,clean,0.005,0,0
00210_okay-google_Karen_clean.wav,near_miss,clean,0.000,0,0
00003_hey-jeremy_Fred_noisy20.wav,near_miss,noisy,0.303,0,0
00009_hey-travis_Daniel_noisy5.wav,near_miss,noisy,0.221,0,0
00017_hey-harris_Daniel_noisy20.wav,near_miss,noisy,0.421,0,0
00018_hey-harris_Karen_noisy5.wav,near_miss,noisy,0.136,0,0
00027_hey-james_Fred_noisy5.wav,near_miss,noisy,0.041,0,0
00031_hey-james_Flo_noisy20.wav,near_miss,noisy,0.015,0,0
00039_hey-jervis_Flo_noisy0.wav,near_miss,noisy,0.344,0,0
00041_hey-jasmine_Daniel_noisy0.wav,near_miss,noisy,0.325,0,0
00047_hey-jasmine_Flo_noisy10.wav,near_miss,noisy,0.292,0,0
00049_hey-charles_Daniel_noisy5.wav,near_miss,noisy,0.962,1,0
00055_hey-charles_Flo_noisy0.wav,near_miss,noisy,0.976,1,0
00063_hey-service_Flo_noisy20.wav,near_miss,noisy,0.469,0,0
00073_hey-charmless_Daniel_noisy0.wav,near_miss,noisy,0.879,1,0
00083_they-marvis_Fred_noisy0.wav,near_miss,noisy,0.321,0,0
00087_they-marvis_Flo_noisy10.wav,near_miss,noisy,0.437,0,0
00090_hey-marvis_Karen_noisy10.wav,near_miss,noisy,0.009,0,0
00092_hey-marvis_Kathy_noisy0.wav,near_miss,noisy,0.092,0,0
